CompanyID,Department,Year,Quarter,Revenue,Expenses,Profit,ProfitMargin,EmployeeCount,EmployeeTurnoverRate,AverageSalary,CustomerSatisfaction,NetPromoterScore,MarketSharePercentage,ProductivityScore,RevenuePerEmployee,TrainingHoursPerEmployee,NewCustomers,CustomerRetentionRate,OperatingCostRatio
52,Operations,2023,Q2,131568,52921,466082,0.34,29,0.01,100539,5.4,15,26.0,89.2,16217.23,47.5,160,0.9,0.6
93,Finance,2022,Q2,897278,529177,389518,0.06,23,0.02,57077,8.2,-38,40.78,86.1,15087.11,35.2,289,0.74,0.96
15,Sales,2023,Q3,761259,492900,280526,0.17,31,0.18,52663,6.1,-36,42.5,62.3,7327.85,24.4,399,0.68,0.51
72,Operations,2021,Q3,710326,194535,450990,0.15,61,0.18,87285,5.6,5,17.75,60.9,13732.76,7.6,382,0.94,0.57
61,Operations,2023,Q4,297173,571317,477786,0.38,36,0.08,91235,9.5,2,41.95,74.1,21809.45,32.4,129,0.79,0.88
21,Marketing,2022,Q3,229789,730834,215134,0.35,52,0.18,57619,8.2,10,13.08,87.7,23246.14,14.5,435,0.78,0.99
83,Marketing,2021,Q4,469604,877367,361753,0.45,12,0.12,109503,6.2,77,39.32,73.2,18925.99,43.3,453,0.93,0.84
87,IT,2022,Q2,601994,699822,56698,0.09,97,0.16,97477,6.9,-9,16.2,86.7,28162.64,29.7,253,0.74,0.96
75,Finance,2021,Q1,174723,510221,273254,0.24,17,0.09,67488,9.9,-22,18.41,86.6,22009.92,38.0,287,0.9,0.93
75,Marketing,2023,Q1,863043,831160,387410,0.06,95,0.03,118747,9.3,-7,43.36,92.3,48666.41,35.3,377,0.85,0.74
88,IT,2021,Q1,466338,122828,485197,0.15,98,0.09,61169,5.1,82,23.9,64.0,41330.77,20.6,343,0.94,0.67
100,Marketing,2021,Q1,997849,697937,141458,0.28,19,0.1,70373,9.9,62,49.58,83.1,46893.98,39.2,233,0.75,0.82
24,Finance,2023,Q2,865110,401206,461729,0.06,38,0.11,72669,6.8,55,11.84,62.5,30084.21,43.0,261,0.92,0.77
3,Operations,2022,Q1,681176,105152,225192,0.14,49,0.03,95277,8.5,-13,25.85,67.0,35525.28,38.5,300,0.8,0.51
22,HR,2023,Q3,928048,270073,252282,0.34,74,0.2,112170,8.6,64,37.96,73.0,12500.44,40.0,276,0.77,0.98
53,Finance,2021,Q3,807494,408635,319945,0.3,30,0.06,95120,9.6,79,5.24,88.3,38875.36,21.2,216,0.71,0.79
2,Sales,2023,Q1,584441,273393,386156,0.15,33,0.05,106376,9.4,58,11.83,99.0,15618.7,47.5,80,0.79,0.94
88,Marketing,2021,Q3,892515,136569,368229,0.32,82,0.11,94235,6.4,33,5.92,73.7,11562.48,24.1,385,0.8,0.87
30,Marketing,2023,Q4,767958,731132,212929,0.41,69,0.11,74229,8.2,-5,49.68,80.8,6883.67,45.4,200,0.91,0.67
38,Operations,2023,Q2,444620,459579,493192,0.05,35,0.09,55405,7.0,41,39.23,70.4,26250.36,43.6,211,0.85,0.95
2,Sales,2022,Q1,192416,733850,41566,0.41,18,0.16,55847,7.6,54,21.81,87.0,17905.52,10.6,145,0.89,0.9
64,Operations,2021,Q1,889012,502220,435737,0.36,29,0.11,63547,7.8,21,12.03,74.7,49402.72,48.5,322,0.87,0.71
60,Sales,2022,Q2,747122,172537,251300,0.2,65,0.13,46575,7.0,88,9.07,79.3,16242.54,49.8,412,0.7,0.92
21,HR,2021,Q3,736436,103806,33798,0.12,45,0.15,44843,7.3,-22,28.94,82.7,43994.45,32.3,73,0.67,0.64
33,Marketing,2023,Q2,812755,650280,416781,0.48,45,0.01,47739,6.0,-4,48.92,87.4,19239.74,40.2,468,0.69,0.84
76,Marketing,2021,Q2,928753,334464,33027,0.2,82,0.12,54852,8.0,60,35.36,62.4,38710.71,47.0,167,0.65,0.56
58,HR,2022,Q3,895818,391115,277775,0.09,31,0.18,91661,8.8,-44,21.43,82.2,34692.86,5.9,456,0.74,0.93
22,IT,2022,Q2,415315,833140,230937,0.09,10,0.01,49157,7.1,66,27.54,77.2,30280.26,46.8,441,0.83,0.86
89,Operations,2022,Q3,250594,223217,249628,0.43,78,0.09,112968,9.9,13,49.95,65.4,23757.12,33.2,487,0.79,0.58
49,HR,2021,Q3,820892,244760,66878,0.32,82,0.19,58837,5.3,31,28.34,68.3,35199.73,42.3,136,0.84,0.51
91,Operations,2022,Q2,584976,360725,55206,0.41,46,0.08,116730,7.9,13,48.39,95.4,23327.53,29.3,454,0.72,0.69
59,Finance,2022,Q4,133545,595042,113473,0.38,92,0.1,54819,7.9,41,5.74,94.9,29664.51,28.9,324,0.67,0.84
42,Marketing,2022,Q3,285151,119837,461798,0.29,81,0.2,112161,5.2,-39,37.44,61.3,31541.08,45.4,464,0.67,0.64
92,Operations,2023,Q2,913287,712567,68334,0.49,22,0.05,47404,6.1,-39,33.22,87.6,17030.98,27.8,99,0.81,0.99
60,Sales,2023,Q3,135790,268811,344467,0.22,93,0.02,54674,9.5,-15,35.84,82.2,20288.14,26.2,376,0.66,0.97
80,Operations,2021,Q4,675300,689068,63619,0.3,52,0.17,116043,7.7,-22,30.68,97.6,5812.25,32.4,161,0.74,0.8
15,Finance,2021,Q4,217827,661369,113536,0.42,46,0.18,58697,7.2,88,6.99,96.3,43347.15,28.3,329,0.67,0.66
62,Marketing,2022,Q1,360123,860448,430091,0.33,83,0.1,100663,7.1,34,11.73,83.2,39019.24,25.1,351,0.83,0.95
62,HR,2023,Q3,114260,372666,165586,0.44,34,0.11,63570,9.4,23,46.5,65.6,13258.87,13.1,185,0.82,0.9
47,Finance,2022,Q3,296211,567447,163652,0.31,97,0.17,68037,6.8,-4,15.48,78.4,21292.18,22.9,382,0.73,0.54
62,Marketing,2022,Q2,887506,162099,269201,0.37,30,0.15,77982,9.3,30,49.68,89.0,23948.13,17.7,52,0.65,0.74
51,Operations,2023,Q3,535892,725462,226899,0.07,50,0.06,108524,6.5,70,35.58,98.1,20047.04,23.0,211,0.67,0.99
55,IT,2023,Q1,240547,838356,407504,0.15,82,0.01,45156,7.7,-8,25.0,74.6,40920.93,31.7,126,0.77,0.73
64,IT,2023,Q4,309486,135015,16734,0.18,51,0.1,78280,5.7,95,46.4,91.4,37643.93,32.4,234,0.94,0.97
3,Sales,2021,Q4,246192,679275,224072,0.09,51,0.17,115324,9.1,23,40.77,87.3,39522.14,15.7,423,0.69,0.99
51,Marketing,2021,Q1,516363,628621,311152,0.15,11,0.18,100706,8.7,2,24.3,63.1,45685.85,8.8,107,0.67,0.69
7,IT,2022,Q3,364130,789818,321493,0.1,77,0.19,119721,7.7,-12,8.09,82.3,31781.81,38.5,212,0.68,0.98
21,HR,2021,Q3,864489,227171,148886,0.18,17,0.18,49971,5.1,56,44.07,67.3,32654.04,28.8,70,0.85,0.57
73,Marketing,2023,Q1,787790,762706,446370,0.34,70,0.12,93140,7.4,-14,39.43,87.3,37487.04,24.9,114,0.92,0.58
39,HR,2023,Q2,862857,700660,148923,0.21,23,0.09,83408,6.1,46,40.58,84.4,35655.47,10.8,115,0.63,0.64
18,HR,2021,Q4,155479,780841,396622,0.22,86,0.16,92022,7.1,-2,38.52,98.9,44141.59,23.7,490,0.86,0.73
4,IT,2022,Q1,576182,443522,142672,0.14,30,0.15,46487,9.3,77,17.41,97.4,39658.92,41.8,347,0.77,0.59
89,Marketing,2022,Q1,492977,400639,66614,0.17,33,0.11,60997,8.8,-41,43.65,60.4,10420.64,31.2,348,0.89,0.67
60,Operations,2021,Q3,364320,644055,213474,0.47,59,0.03,86456,6.2,-11,5.1,63.2,46776.14,9.1,331,0.75,0.55
14,Finance,2022,Q4,708546,154332,275836,0.34,91,0.19,117988,9.9,95,15.68,90.8,35739.47,20.0,459,0.6,0.72
9,IT,2022,Q3,339423,717567,136745,0.32,54,0.1,99416,9.5,55,7.1,87.4,10721.57,49.1,441,0.84,0.91
90,IT,2022,Q1,477332,875858,199099,0.13,73,0.08,84767,7.6,-10,9.98,92.0,39738.82,29.5,224,0.88,0.8
53,Operations,2023,Q2,184153,580624,258843,0.38,73,0.13,118970,7.7,-49,28.96,70.7,21128.56,17.9,214,0.92,0.91
2,Marketing,2023,Q4,817278,424344,292517,0.12,35,0.14,117952,9.5,2,6.68,94.0,41269.01,46.1,131,0.8,0.57
84,Marketing,2021,Q1,883930,780526,239708,0.22,41,0.05,68194,8.2,96,13.16,77.7,47993.27,20.1,195,0.64,0.7
92,HR,2023,Q1,520331,329400,466021,0.5,66,0.17,73785,7.7,-25,15.47,70.5,16485.89,37.8,253,0.73,0.52
60,Operations,2022,Q2,858272,804805,384557,0.34,62,0.07,98676,8.7,3,34.49,60.4,43583.5,11.6,213,0.87,0.68
71,Operations,2023,Q1,177442,230889,483599,0.3,42,0.05,48373,6.2,0,26.1,94.9,39810.26,12.0,153,0.77,0.81
44,Marketing,2021,Q1,926434,549920,24507,0.36,61,0.09,70283,9.4,63,25.63,81.4,35203.32,30.3,179,0.84,0.78
8,HR,2023,Q4,157124,345863,335075,0.43,27,0.15,95911,7.7,-34,39.58,99.0,22321.42,15.8,133,0.6,0.53
47,IT,2022,Q4,411896,878449,85499,0.4,44,0.19,66414,8.0,69,25.55,88.6,9943.79,7.2,169,0.63,0.53
35,Sales,2022,Q4,359488,95704,212714,0.15,21,0.16,54378,5.4,-5,20.68,63.2,26775.36,46.7,308,0.84,0.65
78,Finance,2021,Q3,178947,866445,213941,0.06,60,0.19,44700,6.5,4,48.31,83.5,9755.0,7.5,153,0.7,0.89
81,IT,2023,Q2,961148,392135,386506,0.19,98,0.04,104143,7.1,-1,5.37,60.7,27506.63,37.3,413,0.74,0.51
36,Marketing,2023,Q4,541209,390492,369593,0.17,19,0.02,103229,7.1,24,18.74,82.3,41913.2,20.0,83,0.82,0.81
50,Finance,2023,Q3,896505,276884,368963,0.14,61,0.12,53901,8.9,-40,32.42,74.0,49893.72,47.0,431,0.64,0.59
4,Sales,2022,Q3,923683,217848,311567,0.47,43,0.07,62597,6.4,89,40.23,85.7,13910.39,49.4,418,0.89,0.97
2,Sales,2021,Q2,196496,322204,113612,0.44,76,0.17,73428,5.9,-3,41.74,81.7,14353.61,20.1,415,0.65,0.72
6,HR,2023,Q2,826797,521808,498567,0.19,48,0.14,75687,7.9,70,7.07,70.5,41489.75,31.6,223,0.86,0.52
54,Finance,2022,Q1,925329,793470,96120,0.34,17,0.19,69493,8.1,5,36.91,66.5,26107.64,39.8,495,0.7,0.86
4,HR,2022,Q3,413760,362067,389553,0.23,38,0.06,91224,5.6,-43,37.41,76.2,46211.21,10.6,375,0.69,0.74
54,IT,2022,Q4,362037,128563,363062,0.46,31,0.1,71852,5.0,-37,14.63,99.5,39604.83,36.9,281,0.89,0.94
93,Operations,2023,Q2,601935,709390,76600,0.26,93,0.11,50932,9.6,63,10.07,77.4,38139.25,45.8,234,0.79,0.83
63,Operations,2023,Q3,890914,139779,51848,0.17,79,0.06,104202,5.4,3,38.74,90.0,9587.92,13.0,443,0.67,0.85
18,Operations,2023,Q4,470134,738649,16820,0.16,70,0.12,73583,9.5,-34,16.23,62.3,6614.4,42.7,393,0.6,0.88
90,Finance,2023,Q3,322036,149704,280656,0.3,52,0.09,87278,7.0,82,5.08,75.2,19254.33,10.2,67,0.94,0.71
44,Operations,2023,Q2,566152,311757,177797,0.17,58,0.09,69865,8.3,80,15.06,83.2,14778.43,30.6,466,0.75,0.9
34,IT,2023,Q1,794934,160234,323678,0.31,38,0.08,52289,5.9,-42,6.4,90.0,37053.9,20.3,280,0.74,0.53
74,HR,2023,Q3,929716,373831,226223,0.45,90,0.01,110270,9.1,71,16.21,81.1,25283.02,26.2,184,0.62,0.88
62,Finance,2023,Q4,435076,86491,397335,0.23,40,0.11,75521,5.9,63,20.08,80.6,28541.59,18.5,94,0.91,0.82
100,HR,2023,Q2,369482,800909,180848,0.15,62,0.07,46505,6.9,-31,17.21,90.6,41618.37,16.7,161,0.65,0.78
14,Finance,2022,Q1,273790,395922,70945,0.5,43,0.01,84327,6.2,32,46.4,72.5,26532.71,38.4,462,0.72,0.66
95,HR,2023,Q4,243572,70448,255420,0.28,47,0.07,105519,9.2,-30,15.46,63.6,29521.68,15.0,132,0.75,0.56
48,Sales,2021,Q4,242617,554393,355564,0.09,66,0.06,110221,9.3,-18,26.04,73.9,42904.41,23.4,471,0.88,0.82
15,HR,2022,Q4,685768,363694,188527,0.07,13,0.08,58409,6.9,82,48.08,66.4,24410.11,17.4,88,0.73,0.74
72,Operations,2023,Q3,760601,623582,355632,0.1,11,0.04,59517,6.5,-25,44.56,98.6,8740.7,15.7,303,0.79,0.61
78,Sales,2021,Q2,320386,333590,193505,0.33,21,0.11,84533,8.9,57,18.92,83.1,28476.73,33.2,458,0.75,0.52
87,HR,2023,Q4,104695,388723,281855,0.41,44,0.14,70475,9.4,38,19.69,77.9,31071.28,7.0,194,0.71,0.77
62,Finance,2021,Q3,832426,790749,200334,0.24,79,0.13,55327,8.1,41,31.7,96.5,28030.86,40.5,366,0.93,0.56
40,Finance,2021,Q2,638606,135615,96009,0.08,81,0.16,95344,9.6,-18,46.3,96.0,16612.23,29.6,100,0.88,0.96
