EmployeeID,Department,HireDate,EndDate,EmployeeStatus
1,HR,2022-02-03,,Active
2,IT,2022-05-24,2022-11-19,Inactive
3,Marketing,2023-01-16,,Active
4,IT,2021-10-09,,Active
5,Operations,2022-05-31,,Active
6,Sales,2023-11-25,2023-12-10,Inactive
7,HR,2023-09-25,,Active
8,Sales,2021-04-27,2022-10-21,Inactive
9,Operations,2021-02-07,,Active
10,Finance,2021-01-22,,Active
11,IT,2023-04-20,,Active
12,IT,2023-04-28,2023-09-29,Inactive
13,IT,2022-03-16,2023-03-20,Inactive
14,IT,2021-02-06,2021-03-30,Inactive
15,Operations,2021-07-06,2023-04-04,Inactive
16,Marketing,2021-10-28,,Active
17,Finance,2023-10-10,,Active
18,Finance,2021-05-17,,Active
19,HR,2023-01-18,,Active
20,Sales,2023-09-02,2023-11-23,Inactive
21,Finance,2022-12-12,,Active
22,IT,2021-03-06,,Active
23,Marketing,2023-01-30,2023-08-08,Inactive
24,HR,2022-03-15,,Active
25,Operations,2022-08-17,,Active
26,HR,2021-09-28,,Active
27,HR,2021-09-09,,Active
28,Marketing,2021-03-30,2021-08-28,Inactive
29,Finance,2023-02-18,2023-07-03,Inactive
30,Finance,2021-08-08,,Active
31,Marketing,2023-10-21,2023-11-11,Inactive
32,Sales,2021-09-25,,Active
33,Sales,2022-02-22,,Active
34,HR,2021-10-13,,Active
35,Operations,2023-06-27,2023-10-31,Inactive
36,Marketing,2023-02-19,2023-03-30,Inactive
37,HR,2022-11-25,,Active
38,Sales,2021-10-12,,Active
39,HR,2022-04-09,,Active
40,Sales,2023-09-06,,Active
41,HR,2023-02-25,,Active
42,Operations,2022-07-08,,Active
43,IT,2022-01-22,2022-12-29,Inactive
44,Operations,2023-01-24,2023-04-20,Inactive
45,IT,2023-05-11,,Active
46,HR,2022-01-09,2023-01-15,Inactive
47,Finance,2022-05-04,,Active
48,Finance,2022-02-22,,Active
49,Marketing,2021-01-07,,Active
50,HR,2022-12-01,2023-01-07,Inactive
51,HR,2021-05-20,,Active
52,Operations,2023-04-20,2023-12-04,Inactive
53,HR,2023-10-26,,Active
54,Finance,2023-12-22,2023-12-29,Inactive
55,Sales,2023-09-28,2023-11-25,Inactive
56,Operations,2022-11-01,2023-08-08,Inactive
57,IT,2022-06-28,,Active
58,Operations,2023-11-20,,Active
59,Operations,2021-08-27,,Active
60,HR,2021-05-05,2023-12-23,Inactive
61,Finance,2022-09-04,,Active
62,Operations,2022-09-20,,Active
63,Operations,2023-09-08,,Active
64,Sales,2021-05-17,,Active
65,Sales,2023-11-28,2023-11-30,Inactive
66,HR,2022-12-04,,Active
67,Operations,2023-05-15,,Active
68,IT,2023-03-05,,Active
69,IT,2021-08-08,,Active
70,HR,2022-11-09,,Active
71,Finance,2022-12-07,2023-07-11,Inactive
72,Marketing,2023-10-15,2023-11-04,Inactive
73,Operations,2021-03-10,2021-09-25,Inactive
74,HR,2023-07-10,,Active
75,Finance,2023-09-20,,Active
76,Operations,2023-11-01,2023-12-28,Inactive
77,Sales,2023-11-02,2023-12-12,Inactive
78,Operations,2023-09-21,2023-11-23,Inactive
79,IT,2022-08-10,,Active
80,Sales,2021-11-29,2023-11-14,Inactive
81,IT,2021-03-26,2021-12-23,Inactive
82,Sales,2023-05-29,,Active
83,Marketing,2022-03-02,2022-04-16,Inactive
84,Operations,2023-12-28,,Active
85,HR,2021-03-09,,Active
86,Finance,2023-11-08,2023-12-09,Inactive
87,Marketing,2023-06-21,,Active
88,HR,2022-10-01,2023-08-09,Inactive
89,IT,2023-03-30,,Active
90,Sales,2022-03-23,2022-10-22,Inactive
91,Finance,2022-12-27,,Active
92,Finance,2021-08-05,,Active
93,HR,2021-12-23,,Active
94,Marketing,2022-12-01,2023-12-24,Inactive
95,HR,2022-05-28,,Active
96,Operations,2022-03-15,2023-09-11,Inactive
97,HR,2022-04-21,2023-11-22,Inactive
98,Marketing,2021-10-26,2022-12-16,Inactive
99,Sales,2023-02-07,,Active
100,Finance,2021-11-07,2023-03-11,Inactive
101,Marketing,2023-10-12,,Active
102,Sales,2023-05-08,2023-10-31,Inactive
103,Finance,2022-04-08,2023-03-29,Inactive
104,Operations,2022-05-04,2022-11-20,Inactive
105,Marketing,2023-09-14,2023-11-07,Inactive
106,Sales,2022-10-18,2023-03-11,Inactive
107,Sales,2021-03-17,,Active
